videoId,title,description,publishedAt,channelId,channelTitle,thumbnails,duration,definition,caption,licensedContent,dimension,viewCount,likeCount,dislikeCount,favoriteCount,unique_id,video_url,logViewCount,performance
2tLXKCgqwLY,Choosing the right compute option in GCP: a decision tree,"Every Cloud based application has needs specific to its environment, and Google Cloud offers a diverse set of options to run your code on. What option is right for you? Find out as Stephanie Wong covers what each compute option is best suited for. 


Compute products → https://goo.gle/380D5Mr 
App hosting on Google Cloud → https://goo.gle/380ofFG 
Where should I run my code? (Cloud Next ‘19) → https://goo.gle/2Tm0WCm 
Choosing the right compute option in GCP: a decision tree → https://goo.gle/2QQonlo 








Product: Google Cloud, Google Kubernetes Engine; fullname: Stephanie Wong;",2020-01-13 19:31:54+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/2tLXKCgqwLY/hqdefault.jpg,0:06:51,hd,True,False,2d,62775,1371,0,0,23281,https://www.youtube.com/watch?v=2tLXKCgqwLY,11.047328113807309,Top Quartile
ai5Hr5zkn50,Vulnerability Scanning with Web Security Scanner,"Welcome to  this episode of Security Journey! In this episode, we’ll go over how Google Web Security Scanner can help you find bugs and unintentional vulnerabilities. 

Subscribe to the GCP Channel → https://goo.gle/GCP
Security Journey Playlist → https://goo.gle/SecurityJourney 

Product: Google Web Security Scanner, Google Cloud Platform; fullname: Carter Morgan;

#SecurityJourney",2020-01-14 17:00:02+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/ai5Hr5zkn50/hqdefault.jpg,0:03:14,hd,True,False,2d,10062,145,0,0,23280,https://www.youtube.com/watch?v=ai5Hr5zkn50,9.216620609933333,Top Quartile
KObJkda4ZfY,Push or Pull Subscriber? - ep. 6,"In this episode of Pub/Sub Made Easy, Priyanka Vergadia will distinguish between Push and Pull Subscribers. You will learn which model (push or pull) makes sense for your use case.

Pub/Sub Made Easy playlist → https://goo.gle/2XQ3vwC
Subscribe to the GCP channel → https://goo.gle/GCP

Product: Cloud - Data Analytics - PubSub; fullname: Priyanka Vergadia;

#PubSubMadeEasy",2020-01-19 17:00:06+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/KObJkda4ZfY/hqdefault.jpg,0:04:58,hd,True,False,2d,48533,851,0,0,23274,https://www.youtube.com/watch?v=KObJkda4ZfY,10.790019862246007,Top Quartile
xbmYmgBEj4o,GCP vs. Firebase - Projects & storage,"In this episode of GCP Essentials, Alexis Moussine-Pouchkine goes over the relationship between Firebase and Google Cloud Platform. Stay tuned to find out how the two platforms have a lot in common and were conceived to nicely complement one another!


Firebase → https://goo.gle/2EXLSCp 
Firebase & Google Cloud Platform - Better together → https://goo.gle/2t42Xbc 
What’s the relationship between Firebase and Google Cloud? → https://goo.gle/39hYuSy 
Google Cloud and Firebase billing for your project is shared  → https://goo.gle/2ZpilL8 
User roles and permissions for your project is shared → https://goo.gle/39hHzzx 
Data & Storage Overview → https://goo.gle/3667B7e 

The GCP Essentials Playlist → https://goo.gle/2w9xfHR 

Subscribe to the Google Cloud Platform Channel to learn more about our products → https://goo.gle/2YCBRCn


product: Cloud Storage; fullname: Alexis Moussine-Pouchkine;

#GCPessentials",2020-01-22 00:00:07+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/xbmYmgBEj4o/hqdefault.jpg,0:05:21,hd,True,False,2d,43425,754,0,0,23271,https://www.youtube.com/watch?v=xbmYmgBEj4o,10.678813619053717,Top Quartile
zR6CsTLTPsk,GCP vs. Firebase - Functions & Firestore,"In this episode we’ll explore two more products: Cloud Functions, and Cloud Firestore. 

Resources:
Previous episode “GCP vs. Firebase - Projects & Storage” → https://goo.gle/2Si7MGL 
Firebase - https://goo.gle/2qZ1ORx 
Serverless Overview → https://goo.gle/35sgrf5 
Get started: write and deploy your first functions → https://goo.gle/2M2D2ae 
Get to know Cloud Firestore - https://goo.gle/2LVGJyD 
Choosing between Native mode and Datastore mode → https://goo.gle/36F6kDL 

Doug’s blog posts :
What’s the relationship between Firebase and Google Cloud? → https://goo.gle/2M0BZI1 
Firebase & Google Cloud: What’s different with Cloud Functions? → https://goo.gle/2LXtxcs 
Firebase & Google Cloud: What’s different with Cloud Firestore? → https://goo.gle/2szq9xu 
 

The GCP Essentials Playlist → https://goo.gle/2w9xfHR 
Subscribe to the Google Cloud Platform Channel to learn more about our products → https://goo.gle/2YCBRCn



Product: Cloud, Firebase; fullname: Alexis Moussine-Pouchkine;

#GCPessentials",2020-02-04 16:00:13+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/zR6CsTLTPsk/hqdefault.jpg,0:05:18,hd,True,False,2d,36823,521,0,0,23260,https://www.youtube.com/watch?v=zR6CsTLTPsk,10.513905085497077,Top Quartile
xY8TIrUOM-Y,Strategies for migrating to the Cloud,"In this first episode of Eyes on Enterprise, Stephanie Wong invites Sona Oakley, Solution Architect, to discuss the different migration patterns to the cloud. Stay tuned to learn how enterprises can choose the right strategies based on their business and technical environments, and the tooling that can help them get there. 

Follow Stephanie Wong on Twitter → @swongful

Time Markers:
0:00 Intro
0:45 How to approach cloud migration 
3:09 Building an inventory of your apps
3:53 When migration doesn’t make sense 
5:10 Choosing a migration path 
6:06 Containerization strategies 
8:25 VM migration to Google Cloud 
10:12 VMware migration to Google Cloud 
10:32 How to unify on-prem apps 
12:42 Takeaways

CIO's Guide to Application Migration →  https://goo.gle/36CPepy 
4 steps to a successful cloud migration → https://goo.gle/2U6JJwL 
Anthos → https://goo.gle/2U6JJwL 
Migrate for Compute Engine → https://goo.gle/2U6aIbZ 
VM Migration → https://goo.gle/2GxkHzd 
Google Consulting Services →  https://goo.gle/2U5P07T 

Watch other episodes of Stack Chat → https://goo.gle/2RXI5wz 

For more content like this, subscribe to the GCP Channel → https://goo.gle/34tknuO 
Watch more episodes of Eyes on Enterprise →  https://goo.gle/2Uipf3X


Product: Google Cloud Platform; fullname: Stephanie Wong, Sona Oakley;

#EyesOnEnterprise",2020-02-05 15:00:14+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/xY8TIrUOM-Y/hqdefault.jpg,0:14:00,hd,True,False,2d,39388,829,0,0,23258,https://www.youtube.com/watch?v=xY8TIrUOM-Y,10.581241868488592,Top Quartile
MXxN4fv01c8,Tensor Processing Units: History and hardware,"In this episode of AI Adventures, Yufeng Guo goes through the logistics and history of TPU’s (Tensor Processing Units) and how they differ from CPU’s and GPU’s.

In-Datacenter Performance Analysis of a Tensor Processing Unit → https://goo.gle/319B2DJ 

Check out the rest of the Cloud AI Adventures playlist →  https://goo.gl/UC5usG
Subscribe to get all the episodes as they come out →  https://goo.gl/S0AS51 


Product: TensorFlow; fullname: Yufeng Guo;

#AIAdventures",2020-02-07 00:00:02+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/MXxN4fv01c8/hqdefault.jpg,0:05:35,hd,True,False,2d,66251,2347,0,0,23256,https://www.youtube.com/watch?v=MXxN4fv01c8,11.101220932072044,Top Quartile
WxBul6qHFgU,Life of a photon through global load balancing,"Ever wondered how Google manages to constantly give accurate and speedy results for a search query? In this episode, Stephanie Wong and Yuriy Babenko talk in-depth about a photons role in Google’s fiber optic network. Specifically, how photons transmit important data between Google’s Front End servers, global cloud load balancers, and backend servers - all in seconds.

Watch other episodes of this series here → https://goo.gle/2ZmtZEY 
Learn more about Cloud Load Balancing → https://goo.gle/3bbWgW0 
Learn more about Cloud CDN → https://goo.gle/39xb9Az 
Learn more about Premium Tier Network → https://goo.gle/2P9RJdt 
Watch episodes of Get Cooking in Cloud → https://goo.gle/2L48nYS 

Get notified when new episodes are released by subscribing to the GCP Channel → https://goo.gle/GCP


Product: Google Cloud Platform,Google Cloud; fullname: Stephanie Wong, Yuriy Babenko;

#NetworkingEndToEnd",2020-02-08 16:00:05+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/WxBul6qHFgU/hqdefault.jpg,0:07:12,hd,True,False,2d,15374,457,0,0,23253,https://www.youtube.com/watch?v=WxBul6qHFgU,9.640498092674719,Top Quartile
CReeC8YuEd8,Custom Sentiment Analysis with AutoML Natural Language,Learn how to build a custom sentiment analysis model with Google Cloud AutoML Natural Language.,2020-02-15 00:00:00+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/CReeC8YuEd8/hqdefault.jpg,0:03:47,hd,True,False,2d,14915,96,0,0,23248,https://www.youtube.com/watch?v=CReeC8YuEd8,9.610189741298711,Top Quartile
mawZ6EUOmcY,Text Entity Extraction with AutoML Natural Language,This video shows you how to build a custom entity extraction model with Google Cloud AutoML Natural Language.,2020-02-15 00:00:12+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/mawZ6EUOmcY/hqdefault.jpg,0:03:26,hd,True,False,2d,35671,217,0,0,23246,https://www.youtube.com/watch?v=mawZ6EUOmcY,10.482121346307313,Top Quartile
iR8GjOwTOrQ,Understanding audit logs,"In this episode of Stack Doctor, Yuri Grinshteyn talks about audit logs. Specifically, he goes over what is logged by default and what audit logs you have control over. Additionally, he goes over the three kinds of data access audit logs and their perspective functions. 

Gain visibility and take control of Stackdriver costs with new metrics and tools → https://goo.gle/2tHZQ9u 
Preventing log waste → https://goo.gle/2H8tMhS 
Cost optimization for Stackdriver Logging, Stackdriver Monitoring, and Stackdriver APM → https://goo.gle/39i72bm 


Check out other videos in this series → https://goo.gle/2M406XL 
For latest releases, please subscribe to the GCP Channel → https://goo.gle/GCP


Product: Stackdriver; fullname: Yuri Grinshteyn;

#StackDoctor",2020-02-15 17:00:09+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/iR8GjOwTOrQ/hqdefault.jpg,0:03:46,hd,True,False,2d,16486,165,0,0,23245,https://www.youtube.com/watch?v=iR8GjOwTOrQ,9.710327470561179,Top Quartile
IHBoUADMrHc,Top 3 access risks in Cloud Security,"Welcome to the second episode of Cloud Security Basics, where Carter Morgan goes over the different ways that an entity can gain access to your systems. In this episode, he talks about the common strategies that are used to gain access like:  Man-in-the-Middle, DDoS exploits, and phishing. Additionally, he speaks to what tools Google Cloud offers to protect its users from these attacks such as: universal two-factor authentication, encrypted traffic and load balancers, and Cloud identity-aware proxies. 

Watch more episodes of Cloud Security Basics → https://goo.gle/2UAI69x 
Subscribe to get all the episodes as they come out → https://goo.gle/GoogleCloudTech  


Product: Cloud Identity-Aware Proxy, Cloud Phishing Protection ; fullname: Carter Morgan;

#CloudSecurityBasics",2020-02-19 00:00:03+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/IHBoUADMrHc/hqdefault.jpg,0:07:00,hd,True,False,2d,31416,414,0,0,23241,https://www.youtube.com/watch?v=IHBoUADMrHc,10.355104426665436,Top Quartile
kBjYK3K3P6M,Diving into the TPU v2 and v3,"In this episode of AI Adventures, Yufeng Guo introduces the TPU v2 and v3. Specifically, he goes over their architecture, how they work, and how Google Developers can get their hands on these TPUs. 

Get started with TPUs today →  https://goo.gle/39HdCIP 

Check out the rest of the Cloud AI Adventures playlist →  https://goo.gl/UC5usG
Subscribe to get all the episodes as they come out →  https://goo.gl/S0AS51 


product: Cloud TPU; fullname: Yufeng Guo;

#AIAdventures",2020-02-21 00:00:06+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/kBjYK3K3P6M/hqdefault.jpg,0:06:01,hd,True,False,2d,33110,1061,0,0,23238,https://www.youtube.com/watch?v=kBjYK3K3P6M,10.407620832440994,Top Quartile
cCkwo6eEHIg,Receiving messages using Pull - ep. 7,"In this episode of Pub/Sub Made Easy, Priyanka Vergadia explains how a subscriber can receive messages using the pull mechanism. Specifically, she’ll go over message flow control, concurrency, the roles of Pull API and Streaming Pull API, and how to deal with duplicate messages. 

Watch Episode 3 → https://goo.gle/2ualtiR 
Receiving messages using Pull → https://goo.gle/38FpomT 

Pub/Sub Made Easy playlist → https://goo.gle/2XQ3vwC
Subscribe to the GCP channel → https://goo.gle/GCP


Product: Cloud - Data Analytics - PubSub; fullname: Priyanka Vergadia;

#PubSubMadeEasy",2020-02-28 16:00:07+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/cCkwo6eEHIg/hqdefault.jpg,0:07:44,hd,True,False,2d,49763,481,0,0,23235,https://www.youtube.com/watch?v=cCkwo6eEHIg,10.815047110034381,Top Quartile
YiwT1cxpRDQ,Log-based metrics,"In this episode of Stack Doctor, Yuri Grinshteyn talks about how you can use Stackdriver to create metrics from logs. Specifically, you’ll learn how to create and use distribution and counter metrics.

Can you alert logs in Stackdriver → https://goo.gle/3bWxc5N 
Log-based metrics on GitHub → https://goo.gle/39URsTk 
Creating and alerting on log-based metrics → https://goo.gle/2vQVHAK  
Check out other videos in this series → https://goo.gle/2M406XL 


For latest releases, please subscribe to the GCP Channel → https://goo.gle/GCP


Product: Stackdriver; fullname: Yuri Grinshteyn;

#StackDoctor",2020-02-29 16:00:12+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/YiwT1cxpRDQ/hqdefault.jpg,0:02:41,hd,True,False,2d,14566,168,0,0,23234,https://www.youtube.com/watch?v=YiwT1cxpRDQ,9.586513975448948,Top Quartile
QJcRkpzW8Mw,Top 3 data risks in Cloud Security,"Welcome to the second episode of Cloud Security Basics, where Carter Morgan speaks to the second Cloud Security risk: data. Specifically, he talks how you can prevent problems with the data you store. He also talks about the various Google Cloud tools - such as Cloud IAM, Google Cloud Logging ,and Monitoring - and how all of these tools work together to protect your data. 

Watch more episodes of Cloud Security Basics → https://goo.gle/2UAI69x 
Subscribe to get all the episodes as they come out → https://goo.gle/GoogleCloudTech  


product: Cloud Identity-Aware Proxy, Cloud Phishing Protection; fullname: Carter Morgan;

#CloudSecurityBasics",2020-03-03 16:00:04+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/QJcRkpzW8Mw/hqdefault.jpg,0:06:12,hd,True,False,2d,39028,529,0,0,23232,https://www.youtube.com/watch?v=QJcRkpzW8Mw,10.572060238529494,Top Quartile
gdeOeu4E7eQ,Choosing the right load balancer,"In this episode of Get Cooking in Cloud, Priyanka Vergadia and Stephanie Wong cover what load balancing is and why it's so important for the longevity of your applications. Wondering when to choose HTTP Load Balancing, Network Load Balancing, TCP or UDP Load Balancing? Watch to find out which will best serve your application.

Learn more through our hands-on labs →  https://goo.gle/3fDhltP 

Cloud Load Balancing deconstructed → https://goo.gle/39fCKqo 
Choosing a Load Balancer → https://goo.gle/2VwqqOr 

Get Cooking In Cloud Playlist → https://goo.gle/2L48nYS 
Subscribe to the GCP Channel → https://goo.gle/GCP


Product: Cloud Run; fullname: Priyanka Vergadia, Stephanie Wong;

#GetCookingInCloud",2020-03-05 17:00:11+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/gdeOeu4E7eQ/hqdefault.jpg,0:07:17,hd,True,False,2d,44150,660,0,0,23230,https://www.youtube.com/watch?v=gdeOeu4E7eQ,10.695370855832223,Top Quartile
IrPXm0DSCWI,AI Platform Training with built-in algorithms,"In this episode, Yufeng Guo speaks to how you can use Google Cloud AI Platform Built-in Algorithms to train and deploy machine learning models without writing any training code. 

Cloud AI Platform Training with Built-in Algorithms → https://goo.gle/2vs1NaN 
Data pre-processing guide → https://goo.gle/3a8gv5w 

Check out the rest of the Cloud AI Adventures playlist →  https://goo.gl/UC5usG
Subscribe to get all the episodes as they come out →  https://goo.gl/S0AS51 


product: AI Platform Training; fullname: Yufeng Guo;

#AIAdventures",2020-03-06 00:00:05+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/IrPXm0DSCWI/hqdefault.jpg,0:06:15,hd,True,False,2d,22083,464,0,0,23229,https://www.youtube.com/watch?v=IrPXm0DSCWI,10.002608643403935,Top Quartile
k8lBOV-nRXI,Receiving Messages using Push to Cloud Function - ep.8,"In this episode of Pub/Sub Made Easy, Priyanka Vergadia speaks to why sending messages via push delivery is so easy. Specifically, she talks about the role of the slow-start algorithm in push delivery, and the possible options there are to authorize Pub/Sub on an application such as: an authorization token, OpenIDConnect token, and IAM permissions. 

Using push subscriptions → https://goo.gle/2TeAvxL 
Triggering from Pub/Sub push → https://goo.gle/39tcMjj 
Using Pub/Sub with Cloud Run tutorial → https://goo.gle/2Tw1Zht 


Pub/Sub Made Easy playlist → https://goo.gle/2XQ3vwC
Subscribe to the GCP channel → https://goo.gle/GCP

#PubSubMadeEasy


Product:Cloud - Data Analytics - PubSub, Cloud - Compute - Cloud Run, Cloud - Serverless Computing - Cloud Functions, Cloud - Compute - App Engine; fullname: Priyanka Vergadia;",2020-03-06 17:00:08+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/k8lBOV-nRXI/hqdefault.jpg,0:06:07,hd,True,False,2d,53125,463,0,0,23228,https://www.youtube.com/watch?v=k8lBOV-nRXI,10.88042172957897,Top Quartile
NqumcYgj5LI,G Suite APIs: intro & overview | For Student Developers,"While most students and working professionals know how to use G Suite apps like Gmail, Google Drive, Calendar, Docs, Sheets, and Slides, most people don't know you can code them, and that's what this short 5-video series is all about. We'll give you an overview of the G Suite developer platform, digging into the HTTP-based RESTful APIs then Google Apps Script, and finally conclude by showing you demo apps of using those technologies. Get the lay of the land in this introductory episode, dig deeper into G Suite developer tools over the next pair, and in the final pair, see actual applications you can build with G Suite.

 
Customizing G Suite playlist → https://goo.gle/2Rp30br  
Google Cloud for Student Developers playlist → https://goo.gle/GCPStudent 
Subscribe to G Suite → https://goo.gle/GSuite
Subscribe to GCP → https://goo.gle/GCP  


Product: G Suite, Gmail, Google Drive, Google Docs, Google Sheets, Google Slides, Google Apps Script, G Suite Add-ons; fullname: Wesley Chun;",2020-03-09 21:36:40+00:00,UCJS9pqu9BzkAMNTmzNMNhvg,Google Cloud Tech,https://i.ytimg.com/vi/NqumcYgj5LI/hqdefault.jpg,0:06:12,hd,True,False,2d,29342,363,0,0,23224,https://www.youtube.com/watch?v=NqumcYgj5LI,10.286809295958603,Top Quartile
